Part;Value;Package;Library;Position;(mm);Orientation
C1;10uF;0603-CAP;SparkFun-Passives;(64.597534375;32.568134375);R180
C2;4.7uF;0603-CAP;SparkFun-Passives;(43.415965625;5.386071875);R270
C3;4.7uF;0603-CAP;SparkFun-Passives;(59.887103125;8.490965625);R0
C4;1uF;0603-CAP;SparkFun-Passives;(54.0512;37.5412);R90
C5;10uF;0603-CAP;SparkFun-Passives;(52.0192;37.5412);R90
C6;10uF;0603-CAP;SparkFun-Passives;(46.8884;37.6174);R90
C7;1uF;0603-CAP;SparkFun-Passives;(35.814;26.6954);MR0
C8;0.1uF;0603-CAP;SparkFun-Passives;(35.814;24.6126);MR0
C9;1uF;0603-CAP;SparkFun-Passives;(35.8394;29.0322);MR180
C10;0.1uF;0603-CAP;SparkFun-Passives;(35.8394;31.0642);MR180
C11;1uF;0603-CAP;SparkFun-Passives;(39.0144;28.8798);MR180
C12;0.1uF;0603-CAP;SparkFun-Passives;(39.0144;30.9118);MR180
C13;1uF;0603-CAP;SparkFun-Passives;(41.783;26.7716);MR0
C14;0.1uF;0603-CAP;SparkFun-Passives;(41.5544;29.6926);MR270
C15;1uF;0603-CAP;SparkFun-Passives;(54.0512;41.7322);R90
C16;10uF;0603-CAP;SparkFun-Passives;(52.0192;41.7322);R90
C17;100uF;1210;SparkFun-Passives;(43.7134;17.7546);R270
C18;1uF;0603-CAP;SparkFun-Passives;(46.482;18.4658);R270
C19;1uF;0603-CAP;SparkFun-Passives;(39.8018;38.2524);R0
C20;0.1uF;0603-CAP;SparkFun-Passives;(39.7764;36.2204);R0
C21;1uF;0603-CAP;SparkFun-Passives;(40.95089375;18.510503125);R270
C22;10uF;0603-CAP;SparkFun-Passives;(38.349684375;17.071340625);R0
C23;0.1uF;0603-CAP;SparkFun-Passives;(38.367715625;19.1483);R0
C24;10uF;0603-CAP;SparkFun-Passives;(46.9138;41.6814);R90
C25;100uF;1210;SparkFun-Passives;(47.4726;34.2646);R180
C26;10pF;0603-CAP;SparkFun-Passives;(26.31313125;15.495271875);R0
C27;10uF;0603-CAP;SparkFun-Passives;(68.1482;26.416);R270
C28;10uF;0603-CAP;SparkFun-Passives;(58.020965625;18.700496875);R270
C29;100nF;0603-CAP;SparkFun-Passives;(33.62426875;13.69186875);R270
C30;100nF;0603-CAP;SparkFun-Passives;(35.75176875;18.554065625);R90
C31;10pF;0603-CAP;SparkFun-Passives;(26.31313125;9.619234375);R0
C32;100pF;0603-CAP;SparkFun-Passives;(22.1582;12.54886875);R270
C33;0.1uF;0603-CAP;SparkFun-Passives;(44.1452;37.6936);R90
C34;NC;0603-CAP;SparkFun-Passives;(27.1526;22.5552);R90
C35;1pF_TVS;0603-CAP;SparkFun-Passives;(21.9448375;18.94713125);R90
C36;NC;0603-CAP;SparkFun-Passives;(27.1526;26.7462);R90
C37;220pF;0603-CAP;SparkFun-Passives;(27.185871875;12.59713125);R90
C38;NC;0603-CAP;SparkFun-Passives;(27.1526;30.9372);R90
C39;100nF;0603-CAP;SparkFun-Passives;(48.36286875;16.03019375);MR0
C40;NC;0603-CAP;SparkFun-Passives;(27.1526;35.2552);R90
C41;100nF;0603-CAP;SparkFun-Passives;(12.59713125;46.730159375);R0
C42;NC;0603-CAP;SparkFun-Passives;(72.0598;42.9768);R270
C44;NC;0603-CAP;SparkFun-Passives;(72.0598;37.1094);R270
C46;NC;0603-CAP;SparkFun-Passives;(71.4248;31.5468);R270
C48;NC;0603-CAP;SparkFun-Passives;(71.4248;27.2796);R270
C50;1uF;0603-CAP;SparkFun-Passives;(33.7058;18.554065625);R270
C60;1uF;0603-CAP;SparkFun-Passives;(33.4264;10.3886);R270
C62;NC;0603-CAP;SparkFun-Passives;(27.10865625;18.94713125);R90
C63;0.1uF;0603-CAP;SparkFun-Passives;(43.2562;33.6296);MR0
C64;10uF;0603-CAP;SparkFun-Passives;(63.1698;41.7322);R90
C65;1uF;0603-CAP;SparkFun-Passives;(60.706;41.7322);R90
C67;0.1uF;0603-CAP;SparkFun-Passives;(48.278034375;3.05155625);MR270
C68;1uF;0603-CAP;SparkFun-Passives;(60.706;37.0078);R90
C69;0.1uF;0603-CAP;SparkFun-Passives;(48.024034375;13.290296875);MR270
D1;GREEN;LED-1206;SparkFun-LED;(39.7764;41.9862);R180
D2;ORANGE;LED-1206;SparkFun-LED;(42.8244;10.287);R0
D3;BLUE;LED-1206;SparkFun-LED;(53.56021875;14.8844);R0
D4;BLUE;LED-1206;SparkFun-LED;(54.6948375;7.402578125);R180
ESD1;ESD7L;SOT-723;ESD7L;(21.840696875;22.47925625);R90
ESD2;ESD7L;SOT-723;ESD7L;(21.840696875;26.79725625);R90
ESD3;ESD7L;SOT-723;ESD7L;(21.840696875;30.98825625);R90
ESD4;ESD7L;SOT-723;ESD7L;(21.840696875;35.17925625);R90
ESD5;ESD7L;SOT-723;ESD7L;(77.346303125;43.05274375);R270
ESD6;ESD7L;SOT-723;ESD7L;(77.346303125;37.08374375);R270
ESD7;ESD7L;SOT-723;ESD7L;(76.711303125;31.49574375);R270
ESD8;ESD7L;SOT-723;ESD7L;(76.711303125;27.30474375);R270
IC1;ADS1299IPAG;TQFP64;ADS129x;(38.3286;27.6606);R0
IC7;OPA376DBV;SOT23-5;OPA376;(30.0228;14.2748);R0
IC8;OPA376DBV;SOT23-5;OPA376;(30.2768;18.542);R270
ISO1;AM1DM-0505SH60-NZ;SIP1005W50P254L1965H1265Q7;Aimtec AM1D;(69.4763625;16.532859375);R0
J1;533981071;53398-1071;Molex Picoblade;(63.09233125;26.497028125);R0
J2;SJ1-3535N;CUI_SJ1-3535N;SJ1-3535N-a;(6.985;12.065);R0
J3;SJ1-3535N;CUI_SJ1-3535N;SJ1-3535N-a;(6.985;21.59);R0
